Tabela,Data,Kurs Å›redni,Zmiana
223/A/NBP/2018,2018-11-16,4.295,-0.05
222/A/NBP/2018,2018-11-15,4.297,0.04
221/A/NBP/2018,2018-11-14,4.2954,-0.09
220/A/NBP/2018,2018-11-13,4.2994,0.07
219/A/NBP/2018,2018-11-12,4.2962,0.14
218/A/NBP/2018,2018-11-09,4.2901,-0.12
217/A/NBP/2018,2018-11-08,4.2951,-0.05
216/A/NBP/2018,2018-11-07,4.2972,-0.33
215/A/NBP/2018,2018-11-06,4.3115,-0.07
214/A/NBP/2018,2018-11-05,4.3144,-0.23
213/A/NBP/2018,2018-11-02,4.3244,-0.16
212/A/NBP/2018,2018-10-31,4.3313,0.13
211/A/NBP/2018,2018-10-30,4.3258,0.22
210/A/NBP/2018,2018-10-29,4.3164,0.09
209/A/NBP/2018,2018-10-26,4.3125,0
208/A/NBP/2018,2018-10-25,4.3123,0.2
207/A/NBP/2018,2018-10-24,4.3036,0.12
206/A/NBP/2018,2018-10-23,4.2984,0.14
205/A/NBP/2018,2018-10-22,4.2922,-0.3
204/A/NBP/2018,2018-10-19,4.3049,0.19
203/A/NBP/2018,2018-10-18,4.2966,0.07
202/A/NBP/2018,2018-10-17,4.2936,0
